
Detection(bounding_box=BoundingBox(origin_x=5, origin_y=0, width=628, height=480), categories=[Category(index=81, score=0.78515625, display_name='', category_name='refrigerator')])
Detection(bounding_box=BoundingBox(origin_x=141, origin_y=38, width=66, height=111), categories=[Category(index=43, score=0.62109375, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=258, origin_y=185, width=65, height=113), categories=[Category(index=43, score=0.5, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=143, origin_y=335, width=65, height=122), categories=[Category(index=43, score=0.48046875, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=380, origin_y=334, width=63, height=115), categories=[Category(index=43, score=0.4609375, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=252, origin_y=339, width=64, height=122), categories=[Category(index=43, score=0.4609375, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=148, origin_y=183, width=63, height=109), categories=[Category(index=43, score=0.4375, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=367, origin_y=187, width=66, height=113), categories=[Category(index=43, score=0.37890625, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=374, origin_y=39, width=62, height=113), categories=[Category(index=43, score=0.32421875, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=263, origin_y=40, width=58, height=111), categories=[Category(index=43, score=0.2734375, display_name='', category_name='bottle')])


